15,4,1,1,25.417
8,7,4,1,9.764
17,1,1,2,56.061
19,1,1,2,39.767
20,1,1,2,37.344
25,1,1,2,14.371
33,1,5,2,7.962
40,1,1,2,22.262
50,1,4,2,15.172
4,2,1,2,37.805
15,2,1,2,35.301
36,2,1,2,20.6
12,3,3,2,16.023
14,3,2,2,51.434
18,3,4,2,45.145
21,3,1,2,35.581
37,3,2,2,15.973
21,4,3,2,8.432
22,4,1,2,5.558
4,5,2,2,62.469
8,5,1,2,37.413
14,5,1,2,35.4
37,5,1,2,32.977
10,6,1,2,4.537
23,6,1,2,4.557
37,6,1,2,14.201
4,7,4,2,20.119
6,7,1,2,3.044
10,7,2,2,52.986
19,7,1,2,25.958
32,7,1,2,27.71
33,7,1,2,126.872
36,7,3,2,39.016
37,7,1,2,54.078
46,7,1,2,16.513
11,8,3,2,71.763
31,8,1,2,5.778
38,8,1,2,40.208
21,9,1,2,23.804
23,9,1,2,7.531
38,9,1,2,15.132
49,9,1,2,46.386
50,9,1,2,31.916
21,10,3,2,13.189
25,10,1,2,21.48
31,10,1,2,11.937
42,10,3,2,3.985
49,10,1,2,21.541
13,11,1,2,19.899
19,11,1,2,11.277
25,11,1,2,5.448
35,11,1,2,13.39
44,11,3,2,5.057
45,11,1,2,21.181
49,11,3,2,13.409
16,12,4,2,9.413
6,13,1,2,44.414
30,13,1,2,15.522
40,13,1,2,22.322
43,13,1,2,31.044
50,13,1,2,25.437
4,14,1,2,20.74
10,14,1,2,21.371
20,15,1,2,6.61
26,15,1,2,28.301
36,15,1,2,10.054
4,16,3,2,42.592
29,16,2,2,25.196
38,16,1,2,7.09
48,16,1,2,19.819
50,16,1,2,22.523
12,17,1,2,10.675
26,17,1,2,18.106
41,17,1,2,14.881
43,17,1,2,20.3
49,17,1,2,12.408
50,17,1,2,19.839
8,18,1,2,6.459
10,18,1,2,25.537
25,18,3,2,9.023
2,20,1,2,4.587
5,20,1,2,29.212
21,20,1,2,25.897
23,20,1,2,3.575
31,20,1,2,41.94
38,20,2,2,13.269
44,20,1,2,19.017
47,20,1,2,23.474
8,21,4,2,40.288
36,21,4,2,21.931
45,21,1,2,9.334
27,22,1,2,27.34
28,22,1,2,33.308
36,22,1,2,10.886
46,22,2,2,13.299
11,23,3,2,14.661
13,23,1,2,9.794
19,23,1,2,20.049
21,23,2,2,7.932
26,23,1,2,45.606
46,23,1,2,21.841
8,24,1,2,22.642
10,24,3,2,25.637
14,24,1,2,47.418
17,24,3,2,7.54
37,24,1,2,38.456
6,25,1,2,6.419
12,25,1,2,22.022
13,25,1,2,10.304
36,25,1,2,9.073
47,25,1,2,19.659
2,26,1,2,20.86
9,26,1,2,44.354
27,26,1,2,8.392
40,26,1,2,16.724
50,26,1,2,8.862
4,27,3,2,19.628
13,27,2,2,8.322
42,27,3,2,40.888
47,27,1,2,23.574
47,28,1,2,21.931
48,28,2,2,41.65
6,29,1,2,6.209
25,29,1,2,15.773
41,29,1,2,18.226
42,29,2,2,49.051
45,29,2,2,26.468
47,29,1,2,4.066
9,30,1,2,6.5
10,30,1,2,8.422
23,30,1,2,5.108
26,30,2,2,7.551
34,30,1,2,30.033
9,31,1,2,63.732
25,31,1,2,9.453
26,31,1,2,29.683
23,32,1,2,8.141
34,32,1,2,4.406
50,32,5,2,24.926
6,33,1,2,52.095
13,33,1,2,21.441
25,33,1,2,2.944
28,33,1,2,9.964
46,34,1,2,8.443
14,35,1,2,47.208
21,35,1,2,19.097
28,35,1,2,3.455
34,35,1,2,29.112
36,35,1,2,14.671
44,35,1,2,22.422
13,36,1,2,41.49
29,36,3,2,20.299
38,36,2,2,15.342
42,36,2,2,7.06
44,36,1,2,36.933
10,37,1,2,50.643
15,37,1,2,45.054
29,37,1,2,12.328
33,37,1,2,27.74
40,37,4,2,81.697
5,38,2,2,35.371
11,38,3,2,26.188
22,38,1,2,19.268
26,38,1,2,9.294
33,38,3,2,25.797
35,38,1,2,30.204
7,39,1,2,23.533
11,39,1,2,36.022
32,39,1,2,8.402
44,39,1,2,12.118
47,39,1,2,42.23
6,40,1,2,12.308
10,40,1,2,7.461
21,40,1,2,14.271
22,40,1,2,43.703
30,40,1,2,25.717
11,41,1,2,76.811
12,41,1,2,18.356
19,41,1,2,10.925
30,41,1,2,13.51
38,41,1,2,6.76
3,42,3,2,12.869
9,42,1,2,19.268
16,42,3,2,14.171
34,42,1,2,23.114
49,42,1,2,30.313
7,43,1,2,13.089
8,43,1,2,2.313
9,43,2,2,33.217
31,43,1,2,4.636
33,43,1,2,15.201
38,43,1,2,16.323
39,43,1,2,36.583
28,44,1,2,15.582
32,44,2,2,12.228
43,44,1,2,30.183
50,44,1,2,13.829
18,45,1,2,16.053
19,45,1,2,24.045
